id,full_name,year_of_birth,nationality_code
1,Kar-Wai Wong,1956.0,CN
2,Terrence Malick,1943.0,US
3,Edward Yang,1947.0,CN
4,Jean-Luc Godard,1930.0,FR
5,Mohammad Rasoulof,1973.0,IR
6,Raoul Ruiz,1941.0,CL
7,Abbas Kiarostami,1940.0,IR
8,Johnnie To,1955.0,HK
9,Carlos Saura,1932.0,ES
10,Michel Gondry,1963.0,FR
11,Apichatpong Weerasethakul,1970.0,TH
12,Hayao Miyazaki,1941.0,JP
13,Joshua Oppenheimer,1974.0,US
14,Anonymous,,
15,Christine Cynn,,
16,Wes Anderson,1969.0,US
17,Zhangke Jia,1970.0,CN
18,Gus Van Sant,1952.0,US
19,Kathryn Bigelow,1951.0,US
20,David Cronenberg,1943.0,CA
21,Sarah Polley,1979.0,CA
22,Martin Campbell,1943.0,NZ
23,Miguel Gomes,1972.0,PT
24,Pablo Berger,1963.0,ES
25,Courtney Hunt,1964.0,US
26,Robert Altman,1925.0,US
27,Christopher Nolan,1970.0,GB
28,Guillermo del Toro,1964.0,MX
29,Michael Haneke,1942.0,DE
30,Werner Herzog,1942.0,DE
31,Cristian Mungiu,1968.0,RO
32,Leos Carax,1960.0,FR
33,Claude Lanzmann,1925.0,FR
34,Paul Thomas Anderson,1970.0,US
35,Kenneth Lonergan,1962.0,US
36,Mary Harron,1953.0,CA
37,Jessica Hausner,1972.0,AT
38,Andrea Arnold,1961.0,GB
39,Richard Linklater,1960.0,US
40,Pablo Larraín,1976.0,CL
41,Ethan Coen,1957.0,US
42,Joel Coen,1954.0,US
43,Asghar Farhadi,1972.0,IR
44,Andrew Stanton,1965.0,US
45,Lee Unkrich,1967.0,US
46,Yimou Zhang,1951.0,CN
47,Martin Scorsese,1942.0,US
48,Joon-ho Bong,1969.0,KR
49,Paul Greengrass,1955.0,GB
50,Steven Soderbergh,1963.0,US
51,Danièle Huillet,1936.0,FR
52,Jean-Marie Straub,1933.0,FR
53,Marco Bellocchio,1939.0,IT
54,Michelangelo Frammartino,1968.0,IT
55,Ermanno Olmi,1931.0,IT
56,Paolo Benvenuti,1946.0,IT
57,Franco Piavoli,1933.0,IT
58,Chan-wook Park,1963.0,KR
59,Yann Arthus-Bertrand,1946.0,FR
60,Michael Pitiot,1970.0,
61,Yervant Gianikian,1942.0,IT
62,Angela Ricci Lucchi,1942.0,IT
63,Charlie Kaufman,1958.0,US
64,Darren Aronofsky,1969.0,US
65,Rick Alverson,,
66,Lars von Trier,1956.0,DK
67,Quentin Tarantino,1963.0,US
68,Eli Roth,1972.0,US
69,Jim Jarmusch,1953.0,US
70,Ari Folman,1962.0,IL
71,Spike Lee,1957.0,US
72,Michael Winterbottom,1961.0,GB
73,Nuri Bilge Ceylan,1959.0,TR
74,David Fincher,1962.0,US
75,Tomas Alfredson,1965.0,SE
76,Shane Carruth,1972.0,US
77,Peter Watkins,1935.0,GB
79,Carlos Reygadas,1971.0,MX
80,David Lynch,1946.0,US
81,Alfonso Cuarón,1961.0,MX
82,Fernando Meirelles,1955.0,BR
83,Kátia Lund,1966.0,BR
84,Brad Bird,1957.0,US
85,Guy Bolongaro,,
86,Ang Lee,1954.0,TW
87,Steve McQueen,1969.0,GB
88,Xavier Dolan,1989.0,CA
89,Pedro Almodóvar,1949.0,ES
90,Abderrahmane Sissako,1961.0,MR
91,Ava DuVernay,1972.0,US
92,Lucrecia Martel,1966.0,AR
93,Todd Haynes,1961.0,US
94,Sofia Coppola,1971.0,US
95,Tom Ford,1961.0,US
96,Luca Guadagnino,1971.0,IT
97,Richard Kelly,1975.0,US
98,Evan Goldberg,,
99,Seth Rogen,1982.0,CA
100,Chantal Akerman,1950.0,BE
101,Jacques Rivette,1928.0,FR
102,Jonathan Glazer,1965.0,GB
103,Duke Johnson,1979.0,US
104,Eric Darnell,,
105,Tom McGrath,1964.0,US
106,Conrad Vernon,1968.0,US
107,Mike Leigh,1943.0,GB
108,Julian Schnabel,1951.0,US
110,Nanni Moretti,1953.0,IT
111,Mariano Llinás,1975.0,AR
112,Hsiao-Hsien Hou,1947.0,CN
113,Clint Eastwood,1930.0,US
114,Andrey Zvyagintsev,1964.0,RU
115,Jacques Audiard,1952.0,FR
116,Abdellatif Kechiche,1960.0,TN
117,Ousmane Sembene,1923.0,SN
118,Juan José Campanella,1959.0,AR
119,Catherine Breillat,1948.0,FR
120,J.A. Bayona,1975.0,ES
121,Thomas Vinterberg,1969.0,DK
122,Harmony Korine,1973.0,US
123,Guy Maddin,1956.0,CA
124,Roman Polanski,1933.0,FR
125,Baz Luhrmann,1962.0,AU
126,George Lucas,1944.0,US
127,Stephanie Spray,,
128,Pacho Velez,,
129,Roy Andersson,1943.0,SE
130,Jihan El-Tahri,,
131,Mahamat-Saleh Haroun,1961.0,TD
132,Ngozi Onwurah,1964.0,NG
133,Bazi Gete,,
134,Jean-Marie Téno,1954.0,CM
135,Andrew Dosunmu,,
136,Khalo Matabane,1974.0,ZA
137,Amma Asante,1969.0,GB
138,Jean-Pierre Dardenne,1951.0,BE
139,Luc Dardenne,1954.0,BE
140,Gaspar Noé,1963.0,AR
141,Mira Nair,1957.0,IN
142,László Nemes,1977.0,HU
143,Raam Reddy,,
144,Danis Tanovic,1969.0,MK
145,Josephine Decker,,
146,Ben Safdie,,
147,Joshua Safdie,1984.0,US
148,Miranda July,1974.0,US
149,Sara Fattahi,,
150,Avi Nesher,1953.0,IL
151,Joseph Cedar,1968.0,US
152,Eytan Fox,1964.0,US
153,Jennifer Kent,,
154,Ki-duk Kim,1960.0,KR
155,Aleksandr Sokurov,1951.0,RU
156,Pete Docter,1968.0,US
157,Ronnie Del Carmen,1959.0,PH
158,Vincent Paronnaud,1970.0,FR
159,Marjane Satrapi,1969.0,IR
160,George Miller,1945.0,AU
161,Joe Cornish,1968.0,GB
162,Jan Pinkava,1963.0,CZ
163,Alejandro González Iñárritu,1963.0,MX
164,Steven Spielberg,1946.0,US
165,Chang-dong Lee,1954.0,KR
166,Claire Denis,1946.0,FR
167,Tommy Lee Jones,1946.0,US
168,Takeshi Kitano,1947.0,JP
169,Alain Gomis,1972.0,FR
170,Ken Loach,1936.0,GB
171,Newton I. Aduaka,1966.0,NG
172,Cameron Crowe,1957.0,US
173,Aleksey German,1938.0,RU
174,Larry Charles,1956.0,US
175,Don Hertzfeldt,1976.0,US
176,Ron Sylvester,,
177,Joss Whedon,1964.0,US
178,Spike Jonze,1969.0,US
179,Neill Blomkamp,1979.0,ZA
180,Whit Stillman,1952.0,US
181,Lav Diaz,1958.0,PH
182,Kiyoshi Kurosawa,1955.0,JP
183,Takahisa Zeze,1960.0,JP
184,David O. Russell,1958.0,US
185,Susanne Bier,1960.0,DK
186,Jørgen Leth,1937.0,DK
187,Pawel Pawlikowski,1957.0,PL
188,Hirokazu Koreeda,1962.0,JP
189,Damián Szifron,1975.0,AR
190,Bouli Lanners,1965.0,BE
191,John Akomfrah,1957.0,GB
192,Judy Kibinge,,
193,Samba Gadjigo,,
194,Jason Silverman,,
195,Emad Burnat,,
196,Guy Davidi,1978.0,IL
197,Nanfu Wang,,
198,Junfeng Boo,1983.0,SG
199,Eric Khoo,1965.0,SG
200,Jack Neo,,
201,K Rajagopal,,
202,Pin Pin Tan,,
203,Royston Tan,1976.0,SG
204,Kelvin Tong,,SG
205,Andrew Haigh,,
206,David France,,
207,Shari Springer Berman,1963.0,US
208,Robert Pulcini,1964.0,US
209,Travis Wilkerson,1969.0,US
210,Gina Prince-Bythewood,1969.0,US
211,(2012),,
212,Robert Greene,1976.0,US
213,Jacob Krupnick,,
214,Michael Mann,1943.0,US
215,John Crowley,1969.0,IE
216,Dan Gilroy,1959.0,US
217,Jeff Nichols,1978.0,US
218,Asif Kapadia,1972.0,GB
219,Noah Baumbach,1969.0,US
220,Yorgos Lanthimos,1973.0,GR
221,Andrzej Wajda,1926.0,PL
222,Joanna Hogg,1960.0,GB
223,Elia Suleiman,1960.0,IL
224,Jafar Panahi,1960.0,IR
225,Sam Raimi,1959.0,US
226,Chris Buck,1958.0,US
227,Jennifer Lee,1971.0,US
228,Edgar Wright,1974.0,GB
229,Fatih Akin,1973.0,DE
230,Alexander Payne,1961.0,US
231,Destin Daniel Cretton,1978.0,US
232,Derek Cianfrance,1974.0,US
233,Fabián Bielinsky,1959.0,AR
234,Sang-soo Hong,1960.0,KR
235,Greg Mottola,1964.0,US
236,Kevin Costner,1955.0,US
237,John Gianvito,,
238,Frederick Wiseman,1930.0,US
239,Sion Sono,1961.0,JP
240,Denis Villeneuve,1967.0,CA
241,Damien Chazelle,1985.0,US
242,David Michôd,,
243,Mel Gibson,1956.0,US
244,Stevan Riley,,
245,Adam McKay,1968.0,US
246,Paul Feig,1962.0,US
247,Lynne Ramsay,1969.0,GB
248,Miguel Arteta,1965.0,PR
249,Ridley Scott,1937.0,GB
250,Adam Curtis,1955.0,GB
251,Lukas Moodysson,1969.0,SE
252,Brian De Palma,1940.0,US
253,Mojtaba Mirtahmasb,,
254,James Gray,1969.0,US
255,Laurie Anderson,1947.0,US
256,Florian Henckel von Donnersmarck,1973.0,DE
257,Béla Tarr,1955.0,HU
258,Ágnes Hranitzky,1945.0,HU
259,Alain Guiraudie,1964.0,FR
260,Pedro Costa,1958.0,PT
261,Albert Serra,1975.0,ES
265,Ingmar Bergman,1918.0,SE
266,Ulrich Seidl,1952.0,AT
267,Bing Wang,1967.0,CN
268,Alain Cavalier,1931.0,FR
269,Ken Jacobs,1933.0,US
270,Philip S. Solomon,1954.0,
271,Lewis Klahr,,
272,Janie Geiser,1957.0,US
273,Nikolaus Geyrhalter,1972.0,AT
274,Rajat Kapoor,1961.0,IN
275,Chaitanya Tamhane,,
276,Dibakar Banerjee,1969.0,IN
277,Anurag Kashyap,1972.0,IN
278,Tigmanshu Dhulia,,
279,Vikramaditya Motwane,1976.0,IN
280,Sudhir Mishra,,
281,Vishal Bhardwaj,,
282,Ashutosh Gowariker,1964.0,
283,Éric Rohmer,1920.0,FR
284,Aleksey Fedorchenko,1966.0,RU
285,Michael Bay,1965.0,US
286,Ryan Coogler,1986.0,US
287,Rian Johnson,1973.0,US
288,Ming-liang Tsai,1957.0,MY
289,Kambuzia Partovi,1955.0,IR
290,Sean Baker,,
292,Carol Morley,1966.0,GB
293,Agnès Varda,1928.0,BE
294,Raoul Peck,1953.0,HT
295,Gabriela Pichler,,
296,J.J. Abrams,1966.0,US
297,Xavier Beauvois,1967.0,FR
298,Philip Gröning,1959.0,DE
299,Benh Zeitlin,1982.0,US
300,Mike Judge,1962.0,EC
301,Tony Gilroy,1956.0,US
302,George Clooney,1961.0,US
303,Philip Kaufman,1936.0,US
304,Wayne Blair,1971.0,AU
305,Nadine Labaki,1974.0,LB
306,Scandar Copti,1975.0,IL
307,Yaron Shani,1973.0,IL
308,Shimit Amin,,
309,Jean-Pierre Jeunet,1953.0,FR
310,James Cameron,1954.0,CA
311,Paolo Sorrentino,1970.0,IT
312,Shyam Madiraju,,
313,Terry Zwigoff,1949.0,US
314,Kelly Reichardt,,
315,Maren Ade,1976.0,DE
316,Arnaud Desplechin,1960.0,FR
317,Olivier Assayas,1955.0,FR
318,Philippe Garrel,1948.0,FR
319,Jean-Charles Fitoussi,1970.0,FR
320,Cristi Puiu,1967.0,RO
321,Christian Petzold,1960.0,DE
322,Jonas Mekas,1922.0,LT
323,Michel Hazanavicius,1967.0,FR
324,Tom Hooper,1972.0,GB
325,Jean-Marc Vallée,1963.0,CA
326,Naji Abu Nowar,,
327,Bahman Ghobadi,1969.0,IR
328,James Marsh,1963.0,GB
329,Rachid Bouchareb,1959.0,FR
330,Andrzej Zulawski,1940.0,UA
332,François Ozon,1967.0,FR
333,Corneliu Porumboiu,1975.0,RO
334,Jeff Tremaine,,
335,Mia Hansen-Løve,1981.0,FR
336,David Wain,1969.0,US
337,Robert Zemeckis,1952.0,US
338,Satoshi Kon,1963.0,JP
339,Terry George,1952.0,GB
340,Debra Granik,1963.0,US
341,Duncan Jones,1971.0,GB
342,Agnès Jaoui,1964.0,FR
343,Andrew Dominik,1967.0,NZ
344,Peter Jackson,1961.0,NZ
345,Nouri Bouzid,,
346,Rehad Desai,,
347,Mohamed Diab,,
348,Oliver Schmitz,1960.0,ZA
349,Tom McCarthy,1966.0,US
350,Dror Moreh,,
351,Thom Andersen,1943.0,US
352,Mark Neveldine,1973.0,US
353,Brian Taylor,,
354,Patricio Guzmán,1941.0,CL
355,Sheila Graber,,
356,Stephen Chow,1962.0,HK
357,Peter Tscherkassky,1958.0,AT
358,Philippe Grandrieux,,
359,Rita Azevedo Gomes,,
360,Sidney Lumet,1924.0,US
361,Woody Allen,1935.0,US
362,Alain Resnais,1922.0,FR
363,Manoel de Oliveira,1908.0,PT
364,Michelangelo Antonioni,1912.0,IT
365,Charles Burnett,1944.0,US
366,John Cameron Mitchell,1963.0,US
367,Kinji Fukasaku,1930.0,JP
368,Andre Singer,,
369,Christopher Guest,1948.0,US
370,Wolfgang Becker,1954.0,DE
371,Uli Edel,1947.0,DE
372,Nick Cassavetes,1959.0,US
373,Jason Reitman,1977.0,CA
374,Ben Stiller,1965.0,US
375,Stephen Frears,1941.0,GB
376,Bart Layton,,
377,Ana Lily Amirpour,,
378,S. Craig Zahler,1973.0,US
379,Luke Fowler,,
380,Terence Davies,1945.0,GB
381,Steven Knight,1959.0,GB
382,Cary Joji Fukunaga,1977.0,US
383,Ben Rivers,,
384,Pietro Marcello,1976.0,IT
385,Naomi Kawase,1969.0,JP
386,Francis Ford Coppola,1939.0,US
387,João Pedro Rodrigues,1966.0,PT
388,Nina Paley,1968.0,US
389,Gurinder Chadha,1960.0,KE
390,Hany Abu-Assad,1961.0,IL
391,Sam Mendes,1965.0,GB
392,Peter Weir,1944.0,AU
393,Tomm Moore,1977.0,GB
394,David Silverman,1957.0,US
395,Clio Barnard,,
396,Christian Marclay,,
397,Patty Jenkins,1971.0,US
398,Roberto Benigni,1952.0,IT
399,Eran Riklis,1954.0,IL
400,Annemarie Jacir,1974.0,PS
401,Ramin Bahrani,1975.0,US
402,Nicolas Winding Refn,1970.0,DK
403,Anne Imbert,,
404,Wai-Keung Lau,1960.0,HK
405,Alan Mak,1965.0,HK
406,Andrew Adamson,1966.0,NZ
407,Vicky Jenson,,
408,Ossama Mohammed,1954.0,SY
409,Mani Haghighi,,
410,Karim Aïnouz,1966.0,BR
411,Marcelo Gomes,1963.0,BR
412,Lucien Castaing-Taylor,,
413,Verena Paravel,,
414,Mike Mills,1966.0,US
415,Ronit Elkabetz,1964.0,IL
416,Shlomi Elkabetz,,
417,Gareth Edwards,,
418,Céline Sciamma,1980.0,FR
419,Trey Parker,1969.0,US
420,Jane Campion,1954.0,NZ
421,Ben Wheatley,1972.0,GB
422,Shane Black,1961.0,US
423,Michael Moore,1954.0,US
424,Warwick Thornton,,
425,Aki Kaurismäki,1957.0,FI
426,Jean-Claude Brisseau,1944.0,FR
427,Patrick Wang,,
428,Pirjo Honkasalo,1947.0,FI
429,Kleber Mendonça Filho,1968.0,BR
430,Eran Kolirin,,
431,Laurent Cantet,1961.0,FR
432,Agnieszka Holland,1948.0,PL
433,Jee-woon Kim,1964.0,KR
434,Anthony Russo,1970.0,US
435,Joe Russo,1971.0,US
436,Wayne Parsons,,
437,Richard Curtis,1956.0,NZ
438,Rob Marshall,1960.0,US
439,Christopher Morris,1965.0,GB
440,Shane Meadows,1972.0,GB
441,John Carney,1972.0,IE
442,Marion Milne,,
443,Stephen Daldry,1960.0,GB
444,Wen Jiang,1963.0,CN
445,Ernie Gehr,1941.0,US
446,Pippo Delbono,1959.0,IT
447,Luigi Faccini,1939.0,IT
448,Victor Gaviria,1955.0,CO
449,Mohamed Soueid,1959.0,LB
450,Jean-Gabriel Périot,1974.0,FR
451,Peter Mullan,1959.0,GB
452,Joseph Kahn,1972.0,KR
453,Tony Scott,1944.0,GB
